LexToken(DEF,'def',1,1)
LexToken(ID,'getFibonacci',1,5)
LexToken(LPAREN,'(',1,17)
LexToken(ID,'n',1,18)
LexToken(RPAREN,')',1,19)
LexToken(ID,'firstTerm',1,23)
LexToken(ASSIGN,'=',1,33)
LexToken(NUMBER,0,1,35)
LexToken(ID,'secondTerm',1,39)
LexToken(ASSIGN,'=',1,50)
LexToken(NUMBER,1,1,52)
LexToken(ID,'nextTerm',1,56)
LexToken(ASSIGN,'=',1,65)
LexToken(NUMBER,0,1,67)
LexToken(ID,'counter',1,71)
LexToken(ASSIGN,'=',1,79)
LexToken(NUMBER,1,1,81)
LexToken(ID,'result',1,85)
LexToken(ASSIGN,'=',1,92)
LexToken(PUTS,'puts',1,102)
LexToken(STRING,'"The first #{n} terms of Fibonacci series are:-"',1,107)
LexToken(ID,'result',1,158)
LexToken(DOT,'.',1,164)
LexToken(ID,'push',1,165)
LexToken(LPAREN,'(',1,169)
LexToken(ID,'firstTerm',1,170)
LexToken(RPAREN,')',1,179)
LexToken(WHILE,'while',1,183)
LexToken(LPAREN,'(',1,188)
LexToken(ID,'counter',1,189)
LexToken(LESSOREQUAL,'<=',1,197)
LexToken(ID,'n',1,200)
LexToken(PLUS,'+',1,202)
LexToken(NUMBER,1,1,204)
LexToken(RPAREN,')',1,205)
LexToken(IF,'if',1,211)
LexToken(LPAREN,'(',1,213)
LexToken(ID,'counter',1,214)
LexToken(LESSOREQUAL,'<=',1,222)
LexToken(NUMBER,1,1,225)
LexToken(RPAREN,')',1,226)
LexToken(ID,'nextTerm',1,236)
LexToken(ASSIGN,'=',1,245)
LexToken(ID,'counter',1,247)
LexToken(ELSE,'else',1,259)
LexToken(ID,'result',1,272)
LexToken(DOT,'.',1,278)
LexToken(ID,'push',1,279)
LexToken(LPAREN,'(',1,283)
LexToken(ID,'nextTerm',1,284)
LexToken(RPAREN,')',1,292)
LexToken(ID,'nextTerm',1,302)
LexToken(ASSIGN,'=',1,311)
LexToken(ID,'firstTerm',1,313)
LexToken(PLUS,'+',1,323)
LexToken(ID,'secondTerm',1,325)
LexToken(ID,'firstTerm',1,344)
LexToken(ASSIGN,'=',1,354)
LexToken(ID,'secondTerm',1,356)
LexToken(ID,'secondTerm',1,375)
LexToken(ASSIGN,'=',1,386)
LexToken(ID,'nextTerm',1,388)
LexToken(END,'end',1,401)
LexToken(ID,'counter',1,409)
LexToken(PLUS,'+',1,417)
LexToken(ASSIGN,'=',1,418)
LexToken(NUMBER,1,1,420)
LexToken(END,'end',1,424)
LexToken(PUTS,'puts',1,433)
LexToken(ID,'result',1,438)
LexToken(DOT,'.',1,444)
LexToken(ID,'to_s',1,445)
LexToken(END,'end',1,450)
