LexToken(DEF,'def',1,1)
LexToken(ID,'getFibonacci',1,5)
LexToken(LPAREN,'(',1,17)
LexToken(ID,'n',1,18)
LexToken(RPAREN,')',1,19)
LexToken(IF,'if',1,23)
LexToken(ID,'n',1,26)
LexToken(LESSOREQUAL,'<=',1,28)
LexToken(NUMBER,1,1,31)
LexToken(RETURN,'return',1,37)
LexToken(ID,'n',1,44)
LexToken(ELSE,'else',1,48)
LexToken(RETURN,'return',1,57)
LexToken(ID,'getFibonacci',1,64)
LexToken(LPAREN,'(',1,76)
LexToken(ID,'n',1,77)
LexToken(MINUS,'-',1,78)
LexToken(NUMBER,1,1,79)
LexToken(RPAREN,')',1,80)
LexToken(PLUS,'+',1,82)
LexToken(ID,'getFibonacci',1,84)
LexToken(LPAREN,'(',1,96)
LexToken(ID,'n',1,97)
LexToken(MINUS,'-',1,98)
LexToken(NUMBER,2,1,99)
LexToken(RPAREN,')',1,100)
LexToken(END,'end',1,104)
LexToken(END,'end',1,108)
